id,start_datetime,event_cause,corridor,actual_min,predicted_min,abs_error_min
FKID001507,2024-03-15 19:27:28.531000+00:00,vehicle_breakdown,ORR North 1,5.132183783333333,49.829047810411424,44.69686402707809
FKID001520,2024-03-15 20:27:14.925000+00:00,tree_fall,Non-corridor,48.916281016666666,152.58222834157095,103.6659473249043
FKID001530,2024-03-15 20:51:48.132000+00:00,vehicle_breakdown,Non-corridor,136.8639617,47.0629681789708,89.8009935210292
FKID001543,2024-03-15 22:35:27.470000+00:00,vehicle_breakdown,Bellary Road 2,9.070594583333333,65.49023563964566,56.41964105631233
FKID001548,2024-03-15 22:35:58.122000+00:00,vehicle_breakdown,Non-corridor,126.48344196666667,62.02364847547742,64.45979349118926
FKID001547,2024-03-15 23:00:51.904000+00:00,vehicle_breakdown,Mysore Road,41.391337183333334,21.299156022793678,20.092181160539656
FKID001560,2024-03-16 01:15:37.317000+00:00,vehicle_breakdown,Magadi Road,21.802958333333333,38.62424976671683,16.821291433383497
FKID001559,2024-03-16 01:16:51.111000+00:00,vehicle_breakdown,Magadi Road,17.968402516666668,39.4170768206503,21.448674303983633
FKID001564,2024-03-16 02:00:18.474000+00:00,vehicle_breakdown,Magadi Road,23.663874933333332,45.710141593630645,22.046266660297313
FKID001567,2024-03-16 02:01:35.969000+00:00,vehicle_breakdown,Magadi Road,79.74376296666667,43.96639571566494,35.77736725100173
FKID001566,2024-03-16 02:09:44.491000+00:00,vehicle_breakdown,Mysore Road,58.13958933333333,21.372899969347092,36.766689363986245
FKID001571,2024-03-16 02:40:25.936000+00:00,vehicle_breakdown,Non-corridor,161.71242263333335,76.6125384368723,85.09988419646105
FKID001604,2024-03-16 05:08:06.296000+00:00,vehicle_breakdown,Non-corridor,13.157230550000001,72.88675457471857,59.729524024718565
FKID001630,2024-03-16 08:05:27.828000+00:00,others,Bellary Road 1,27.545034283333333,219.59904717050227,192.05401288716894
FKID001695,2024-03-16 10:49:01.596000+00:00,vehicle_breakdown,Non-corridor,70.09457578333333,35.884975579871586,34.20960020346174
FKID001704,2024-03-16 18:15:54.107000+00:00,vehicle_breakdown,Tumkur Road,118.72338911666667,26.12407436972987,92.5993147469368
FKID001705,2024-03-16 18:23:58.946000+00:00,tree_fall,Bellary Road 1,20.54189726666667,149.38179801587907,128.8399007492124
FKID001713,2024-03-16 18:51:13.940000+00:00,vehicle_breakdown,Tumkur Road,66.27881596666667,24.855111003983517,41.42370496268315
FKID001716,2024-03-16 20:02:17.413000+00:00,vehicle_breakdown,Non-corridor,36.20208975,43.81425005448138,7.612160304481378
FKID001730,2024-03-16 21:05:41.817000+00:00,vehicle_breakdown,Tumkur Road,43.37783213333333,22.85612291408913,20.521709219244197
FKID001750,2024-03-16 22:35:16.313000+00:00,vehicle_breakdown,Non-corridor,14.166123566666666,44.80794754339172,30.641823976725053
FKID001770,2024-03-16 23:09:35.895000+00:00,road_conditions,Bellary Road 1,175.50373811666665,77.33461537952469,98.16912273714196
